DEBUG 2025-01-27 07:51:16,866 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\multiprocessing\context.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,866 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1737874394.102653
DEBUG 2025-01-27 07:51:16,866 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\hmac.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,866 autoreload File D:\Python projects\web scrapper\imdb\movies\__init__.py first seen with mtime 1737874470.0339632
DEBUG 2025-01-27 07:51:16,870 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\viewsets.py first seen with mtime 1737874403.570879
DEBUG 2025-01-27 07:51:16,870 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\DLLs\_bz2.pyd first seen with mtime 1702663625.5559807
DEBUG 2025-01-27 07:51:16,871 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\email\headerregistry.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,871 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\support\__init__.py first seen with mtime 1737902362.001901
DEBUG 2025-01-27 07:51:16,871 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\__future__.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,873 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1737874392.7152605
DEBUG 2025-01-27 07:51:16,873 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\soupsieve\css_match.py first seen with mtime 1737874391.9705584
DEBUG 2025-01-27 07:51:16,873 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\socks.py first seen with mtime 1737902358.9992578
DEBUG 2025-01-27 07:51:16,875 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1737874397.0075812
DEBUG 2025-01-27 07:51:16,875 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\copyreg.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,875 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1737874396.7875786
